iter	Passed	Remaining
0	1	135
1	2	126
2	3	119
3	4	109
4	5	106
5	6	104
6	7	102
7	8	100
8	9	99
9	11	100
10	12	99
11	13	98
12	14	97
13	15	96
14	16	94
15	17	93
16	18	91
17	19	90
18	20	89
19	22	88
20	23	86
21	24	85
22	25	84
23	26	83
24	27	82
25	28	81
26	29	80
27	30	79
28	31	78
29	33	77
30	34	75
31	35	74
32	36	73
33	37	72
34	38	71
35	39	70
36	40	69
37	41	68
38	42	66
39	48	72
40	49	70
41	49	68
42	50	67
43	51	65
44	52	64
45	54	63
46	55	62
47	56	60
48	57	59
49	58	58
50	59	57
51	60	56
52	61	54
53	62	53
54	63	51
55	64	50
56	65	49
57	66	48
58	68	47
59	69	46
60	70	45
61	71	43
62	72	42
63	74	41
64	75	40
65	76	39
66	77	38
67	78	36
68	79	35
69	80	34
70	81	33
71	82	32
72	83	31
73	84	29
74	85	28
75	86	27
76	88	26
77	89	25
78	90	23
79	91	22
80	92	21
81	93	20
82	94	19
83	95	18
84	96	17
85	97	15
86	98	14
87	99	13
88	101	12
89	102	11
90	103	10
91	104	9
92	106	7
93	107	6
94	108	5
95	109	4
96	110	3
97	112	2
98	113	1
99	114	0
