iter	Passed	Remaining
0	155	155700
1	157	78562
2	158	52776
3	160	39896
4	161	32221
5	163	27137
6	165	23541
7	169	21064
8	171	18911
9	173	17214
10	175	15789
11	177	14618
12	179	13617
13	181	12769
14	182	12016
15	184	11334
16	185	10727
17	186	10196
18	188	9732
19	190	9339
20	191	8950
21	193	8595
22	195	8302
23	197	8024
24	198	7750
25	200	7497
26	201	7261
27	202	7046
28	204	6839
29	205	6645
30	206	6467
31	208	6302
32	209	6151
33	211	6012
34	213	5875
35	214	5745
36	216	5622
37	217	5504
38	218	5393
39	220	5289
40	221	5187
41	225	5134
42	226	5043
43	228	4954
44	229	4871
45	230	4787
46	232	4705
47	233	4628
48	234	4558
49	236	4488
50	238	4433
51	240	4375
52	241	4316
53	243	4258
54	246	4242
55	250	4215
56	252	4183
57	254	4139
58	256	4092
59	258	4043
60	259	3995
61	260	3946
62	262	3897
63	263	3850
64	264	3804
65	265	3760
66	267	3720
67	269	3693
68	270	3655
69	272	3616
70	273	3578
71	274	3542
72	276	3506
73	277	3470
74	278	3436
75	280	3404
76	281	3371
77	283	3349
78	284	3321
79	286	3291
80	287	3261
81	288	3232
82	289	3197
83	290	3168
84	291	3142
85	293	3116
86	294	3091
87	296	3068
88	297	3047
89	299	3025
90	300	3001
91	301	2979
92	303	2956
93	304	2934
94	305	2911
95	306	2889
96	308	2867
97	309	2846
98	310	2825
99	312	2809
100	313	2792
101	315	2773
102	316	2753
103	317	2737
104	319	2719
105	320	2700
106	321	2682
107	322	2665
108	323	2647
109	325	2632
110	326	2616
111	328	2600
112	329	2584
113	330	2568
114	331	2554
115	333	2542
116	334	2525
117	335	2510
118	337	2496
119	338	2483
120	339	2469
121	341	2455
122	343	2445
123	344	2434
124	345	2421
125	347	2408
126	348	2393
127	349	2380
128	350	2367
129	351	2355
130	353	2344
131	354	2332
132	356	2321
133	358	2314
134	359	2303
135	361	2293
136	362	2283
137	363	2271
138	364	2260
139	365	2248
140	368	2246
141	370	2237
142	372	2230
143	373	2220
144	374	2210
145	376	2201
146	377	2192
147	379	2183
148	380	2175
149	382	2167
150	383	2157
151	386	2157
152	388	2148
153	389	2140
154	391	2132
155	392	2124
156	394	2115
157	395	2107
158	396	2098
159	398	2089
160	398	2078
161	400	2070
162	401	2062
163	403	2054
164	404	2046
165	405	2038
166	407	2030
167	408	2022
168	409	2014
169	411	2007
170	412	2000
171	413	1992
172	415	1985
173	416	1978
174	418	1970
175	419	1963
176	420	1955
177	421	1948
178	423	1941
179	424	1933
180	425	1926
181	427	1919
182	428	1912
183	429	1905
184	431	1899
185	432	1891
186	433	1884
187	434	1877
188	435	1870
189	437	1863
190	438	1857
191	439	1850
192	441	1844
193	442	1837
194	443	1831
195	445	1825
196	446	1820
197	448	1814
198	449	1808
199	452	1809
200	454	1805
201	455	1799
202	456	1794
203	458	1787
204	459	1783
205	461	1778
206	462	1772
207	464	1766
208	465	1762
209	466	1756
210	468	1750
211	469	1744
212	470	1739
213	472	1733
214	473	1728
215	475	1724
216	476	1719
217	477	1714
218	479	1710
219	481	1705
220	482	1700
221	483	1696
222	485	1690
223	486	1686
224	488	1682
225	490	1678
226	491	1674
227	493	1670
228	494	1665
229	495	1660
230	497	1655
231	498	1650
232	499	1645
233	501	1640
234	502	1634
235	503	1630
236	505	1628
237	507	1625
238	509	1620
239	510	1617
240	512	1613
241	514	1611
242	516	1607
243	517	1603
244	518	1599
245	520	1595
246	521	1591
247	523	1586
248	524	1581
249	525	1577
250	526	1572
251	528	1568
252	529	1564
253	531	1560
254	532	1556
255	534	1553
256	536	1552
257	538	1548
258	539	1544
259	540	1539
260	542	1535
261	543	1530
262	544	1526
263	546	1522
264	547	1517
265	549	1515
266	551	1513
267	552	1509
268	554	1505
269	555	1502
270	557	1498
271	558	1494
272	560	1491
273	561	1487
274	563	1485
275	565	1482
276	566	1479
277	568	1476
278	569	1472
279	571	1469
280	572	1465
281	574	1462
282	575	1458
283	577	1455
284	579	1453
285	580	1450
286	582	1446
287	583	1443
288	585	1439
289	586	1436
290	588	1433
291	589	1429
292	591	1426
293	593	1424
294	595	1423
295	597	1420
296	598	1416
297	599	1413
298	601	1409
299	602	1406
300	605	1406
301	608	1406
302	611	1406
303	613	1404
304	614	1401
305	616	1398
306	618	1395
307	620	1393
308	623	1395
309	626	1395
310	628	1392
311	631	1391
312	632	1389
313	635	1387
314	637	1385
315	639	1384
316	641	1381
317	644	1381
318	647	1381
319	648	1378
320	650	1375
321	652	1374
322	655	1374
323	657	1371
324	658	1368
325	660	1365
326	661	1361
327	663	1359
328	664	1355
329	666	1352
330	667	1349
331	670	1348
332	671	1345
333	673	1343
334	675	1340
335	677	1338
336	678	1335
337	681	1335
338	683	1332
339	685	1330
340	686	1327
341	688	1324
342	690	1322
343	692	1321
344	694	1318
345	695	1315
346	697	1312
347	698	1309
348	700	1306
349	701	1303
350	703	1299
351	704	1296
352	705	1293
353	707	1290
354	708	1286
355	709	1283
356	711	1281
357	712	1278
358	714	1274
359	715	1271
360	716	1268
361	718	1265
362	719	1262
363	720	1259
364	722	1256
365	723	1253
366	724	1250
367	726	1247
368	729	1246
369	730	1244
370	732	1241
371	733	1238
372	734	1235
373	736	1232
374	738	1230
375	739	1227
376	740	1224
377	742	1221
378	743	1219
379	745	1216
380	746	1213
381	748	1210
382	749	1207
383	750	1204
384	752	1201
385	753	1198
386	754	1195
387	756	1192
388	757	1190
389	759	1187
390	760	1184
391	761	1181
392	763	1178
393	764	1175
394	765	1172
395	766	1169
396	767	1166
397	769	1163
398	770	1160
399	771	1157
400	773	1155
401	774	1152
402	775	1149
403	777	1146
404	778	1143
405	779	1140
406	781	1137
407	782	1135
408	783	1132
409	789	1136
410	791	1133
411	792	1131
412	793	1128
413	795	1125
414	796	1122
415	797	1119
416	798	1116
417	800	1114
418	801	1111
419	803	1109
420	804	1106
421	806	1104
422	807	1101
423	808	1098
424	809	1095
425	811	1092
426	812	1090
427	813	1087
428	814	1084
429	816	1081
430	818	1080
431	819	1077
432	820	1074
433	822	1072
434	823	1069
435	824	1066
436	826	1064
437	827	1061
438	828	1058
439	829	1055
440	831	1053
441	832	1050
442	833	1048
443	834	1045
444	835	1042
445	837	1040
446	838	1037
447	840	1035
448	841	1032
449	842	1029
450	843	1026
451	845	1024
452	846	1022
453	847	1019
454	849	1017
455	850	1014
456	851	1012
457	853	1009
458	854	1007
459	855	1004
460	856	1001
461	858	999
462	859	997
463	862	996
464	863	993
465	865	991
466	866	988
467	867	986
468	868	983
469	870	981
470	871	978
471	872	976
472	874	974
473	876	972
474	877	970
475	878	967
476	880	964
477	881	962
